Module	Section	Sample Name	Source
RSeQC	junction_annotation	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/K562_R1.junction_annotation.log
RSeQC	junction_annotation	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/GM12878_R1.junction_annotation.log
RSeQC	junction_annotation	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/K562_R2.junction_annotation.log
RSeQC	junction_annotation	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/MCF7_R1.junction_annotation.log
RSeQC	junction_annotation	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/H1_R1.junction_annotation.log
RSeQC	junction_annotation	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/H1_R2.junction_annotation.log
RSeQC	junction_annotation	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_annotation/MCF7_R2.junction_annotation.log
RSeQC	junction_saturation	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/MCF7_R2.junctionSaturation_plot.r
RSeQC	junction_saturation	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/K562_R1.junctionSaturation_plot.r
RSeQC	junction_saturation	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/K562_R2.junctionSaturation_plot.r
RSeQC	junction_saturation	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/GM12878_R2.junctionSaturation_plot.r
RSeQC	junction_saturation	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/MCF7_R1.junctionSaturation_plot.r
RSeQC	junction_saturation	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/GM12878_R1.junctionSaturation_plot.r
RSeQC	junction_saturation	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/H1_R1.junctionSaturation_plot.r
RSeQC	junction_saturation	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/junction_saturation/H1_R2.junctionSaturation_plot.r
RSeQC	infer_experiment	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/GM12878_R1.infer_experiment.txt
RSeQC	infer_experiment	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/K562_R1.infer_experiment.txt
RSeQC	infer_experiment	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/GM12878_R2.infer_experiment.txt
RSeQC	infer_experiment	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/MCF7_R2.infer_experiment.txt
RSeQC	infer_experiment	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/H1_R2.infer_experiment.txt
RSeQC	infer_experiment	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/K562_R2.infer_experiment.txt
RSeQC	infer_experiment	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/H1_R1.infer_experiment.txt
RSeQC	infer_experiment	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/infer_experiment/MCF7_R1.infer_experiment.txt
RSeQC	bam_stat	K562_R1	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/K562_R1.bam_stat.txt
RSeQC	bam_stat	GM12878_R2	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/GM12878_R2.bam_stat.txt
RSeQC	bam_stat	GM12878_R1	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/GM12878_R1.bam_stat.txt
RSeQC	bam_stat	H1_R2	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/H1_R2.bam_stat.txt
RSeQC	bam_stat	MCF7_R2	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/MCF7_R2.bam_stat.txt
RSeQC	bam_stat	MCF7_R1	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/MCF7_R1.bam_stat.txt
RSeQC	bam_stat	K562_R2	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/K562_R2.bam_stat.txt
RSeQC	bam_stat	H1_R1	/tmp/nxf.ESsqeqazfX/rseqc/bam_stat/H1_R1.bam_stat.txt
Salmon	all_sections	K562_R1	/tmp/nxf.ESsqeqazfX/salmon/K562_R1/libParams/flenDist.txt
Salmon	all_sections	MCF7_R1	/tmp/nxf.ESsqeqazfX/salmon/MCF7_R1/libParams/flenDist.txt
Salmon	all_sections	H1_R1	/tmp/nxf.ESsqeqazfX/salmon/H1_R1/libParams/flenDist.txt
Salmon	all_sections	MCF7_R2	/tmp/nxf.ESsqeqazfX/salmon/MCF7_R2/libParams/flenDist.txt
Salmon	all_sections	H1_R2	/tmp/nxf.ESsqeqazfX/salmon/H1_R2/libParams/flenDist.txt
Salmon	all_sections	GM12878_R2	/tmp/nxf.ESsqeqazfX/salmon/GM12878_R2/libParams/flenDist.txt
Salmon	all_sections	K562_R2	/tmp/nxf.ESsqeqazfX/salmon/K562_R2/libParams/flenDist.txt
Salmon	all_sections	GM12878_R1	/tmp/nxf.ESsqeqazfX/salmon/GM12878_R1/libParams/flenDist.txt
Samtools	stats	MCF7_R1	/tmp/nxf.ESsqeqazfX/samtools/stats/MCF7_R1.markdup.sorted.bam.stats
Samtools	stats	H1_R2	/tmp/nxf.ESsqeqazfX/samtools/stats/H1_R2.markdup.sorted.bam.stats
Samtools	stats	K562_R1	/tmp/nxf.ESsqeqazfX/samtools/stats/K562_R1.markdup.sorted.bam.stats
Samtools	stats	H1_R1	/tmp/nxf.ESsqeqazfX/samtools/stats/H1_R1.markdup.sorted.bam.stats
Samtools	stats	GM12878_R2	/tmp/nxf.ESsqeqazfX/samtools/stats/GM12878_R2.markdup.sorted.bam.stats
Samtools	stats	GM12878_R1	/tmp/nxf.ESsqeqazfX/samtools/stats/GM12878_R1.markdup.sorted.bam.stats
Samtools	stats	K562_R2	/tmp/nxf.ESsqeqazfX/samtools/stats/K562_R2.markdup.sorted.bam.stats
Samtools	stats	MCF7_R2	/tmp/nxf.ESsqeqazfX/samtools/stats/MCF7_R2.markdup.sorted.bam.stats
Samtools	flagstat	MCF7_R1	/tmp/nxf.ESsqeqazfX/samtools/flagstat/MCF7_R1.markdup.sorted.bam.flagstat
Samtools	flagstat	GM12878_R1	/tmp/nxf.ESsqeqazfX/samtools/flagstat/GM12878_R1.markdup.sorted.bam.flagstat
Samtools	flagstat	K562_R2	/tmp/nxf.ESsqeqazfX/samtools/flagstat/K562_R2.markdup.sorted.bam.flagstat
Samtools	flagstat	MCF7_R2	/tmp/nxf.ESsqeqazfX/samtools/flagstat/MCF7_R2.markdup.sorted.bam.flagstat
Samtools	flagstat	H1_R2	/tmp/nxf.ESsqeqazfX/samtools/flagstat/H1_R2.markdup.sorted.bam.flagstat
Samtools	flagstat	H1_R1	/tmp/nxf.ESsqeqazfX/samtools/flagstat/H1_R1.markdup.sorted.bam.flagstat
Samtools	flagstat	GM12878_R2	/tmp/nxf.ESsqeqazfX/samtools/flagstat/GM12878_R2.markdup.sorted.bam.flagstat
Samtools	flagstat	K562_R1	/tmp/nxf.ESsqeqazfX/samtools/flagstat/K562_R1.markdup.sorted.bam.flagstat
Samtools	idxstats	H1_R2	/tmp/nxf.ESsqeqazfX/samtools/idxstats/H1_R2.markdup.sorted.bam.idxstats
Samtools	idxstats	GM12878_R2	/tmp/nxf.ESsqeqazfX/samtools/idxstats/GM12878_R2.markdup.sorted.bam.idxstats
Samtools	idxstats	H1_R1	/tmp/nxf.ESsqeqazfX/samtools/idxstats/H1_R1.markdup.sorted.bam.idxstats
Samtools	idxstats	K562_R1	/tmp/nxf.ESsqeqazfX/samtools/idxstats/K562_R1.markdup.sorted.bam.idxstats
Samtools	idxstats	GM12878_R1	/tmp/nxf.ESsqeqazfX/samtools/idxstats/GM12878_R1.markdup.sorted.bam.idxstats
Samtools	idxstats	MCF7_R2	/tmp/nxf.ESsqeqazfX/samtools/idxstats/MCF7_R2.markdup.sorted.bam.idxstats
Samtools	idxstats	K562_R2	/tmp/nxf.ESsqeqazfX/samtools/idxstats/K562_R2.markdup.sorted.bam.idxstats
Samtools	idxstats	MCF7_R1	/tmp/nxf.ESsqeqazfX/samtools/idxstats/MCF7_R1.markdup.sorted.bam.idxstats
FastQC (raw)	all_sections	H1_R2_1	/tmp/nxf.ESsqeqazfX/fastqc/H1_R2_1_fastqc.zip
FastQC (raw)	all_sections	GM12878_R2_2	/tmp/nxf.ESsqeqazfX/fastqc/GM12878_R2_2_fastqc.zip
FastQC (raw)	all_sections	H1_R2_2	/tmp/nxf.ESsqeqazfX/fastqc/H1_R2_2_fastqc.zip
FastQC (raw)	all_sections	GM12878_R1_2	/tmp/nxf.ESsqeqazfX/fastqc/GM12878_R1_2_fastqc.zip
FastQC (raw)	all_sections	GM12878_R2_1	/tmp/nxf.ESsqeqazfX/fastqc/GM12878_R2_1_fastqc.zip
FastQC (raw)	all_sections	K562_R1_2	/tmp/nxf.ESsqeqazfX/fastqc/K562_R1_2_fastqc.zip
FastQC (raw)	all_sections	H1_R1_2	/tmp/nxf.ESsqeqazfX/fastqc/H1_R1_2_fastqc.zip
FastQC (raw)	all_sections	K562_R2_1	/tmp/nxf.ESsqeqazfX/fastqc/K562_R2_1_fastqc.zip
FastQC (raw)	all_sections	K562_R1_1	/tmp/nxf.ESsqeqazfX/fastqc/K562_R1_1_fastqc.zip
FastQC (raw)	all_sections	GM12878_R1_1	/tmp/nxf.ESsqeqazfX/fastqc/GM12878_R1_1_fastqc.zip
FastQC (raw)	all_sections	MCF7_R2_1	/tmp/nxf.ESsqeqazfX/fastqc/MCF7_R2_1_fastqc.zip
FastQC (raw)	all_sections	H1_R1_1	/tmp/nxf.ESsqeqazfX/fastqc/H1_R1_1_fastqc.zip
FastQC (raw)	all_sections	K562_R2_2	/tmp/nxf.ESsqeqazfX/fastqc/K562_R2_2_fastqc.zip
FastQC (raw)	all_sections	MCF7_R1_2	/tmp/nxf.ESsqeqazfX/fastqc/MCF7_R1_2_fastqc.zip
FastQC (raw)	all_sections	MCF7_R1_1	/tmp/nxf.ESsqeqazfX/fastqc/MCF7_R1_1_fastqc.zip
FastQC (raw)	all_sections	MCF7_R2_2	/tmp/nxf.ESsqeqazfX/fastqc/MCF7_R2_2_fastqc.zip
Cutadapt	all_sections	H1_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/H1_R1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GM12878_R1_2	/tmp/nxf.ESsqeqazfX/trimgalore/GM12878_R1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	H1_R2_2	/tmp/nxf.ESsqeqazfX/trimgalore/H1_R2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GM12878_R2_2	/tmp/nxf.ESsqeqazfX/trimgalore/GM12878_R2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	H1_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/H1_R2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GM12878_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/GM12878_R2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GM12878_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/GM12878_R1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	K562_R2_2	/tmp/nxf.ESsqeqazfX/trimgalore/K562_R2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	MCF7_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/MCF7_R2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	MCF7_R2_2	/tmp/nxf.ESsqeqazfX/trimgalore/MCF7_R2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	K562_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/K562_R2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	MCF7_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/MCF7_R1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	K562_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/K562_R1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	K562_R1_2	/tmp/nxf.ESsqeqazfX/trimgalore/K562_R1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	MCF7_R1_2	/tmp/nxf.ESsqeqazfX/trimgalore/MCF7_R1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	H1_R1_2	/tmp/nxf.ESsqeqazfX/trimgalore/H1_R1_2.fastq.gz_trimming_report.txt
FastQC (trimmed)	all_sections	GM12878_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/GM12878_R1_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	GM12878_R1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/GM12878_R1_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	H1_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/H1_R2_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	MCF7_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/MCF7_R1_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	MCF7_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/MCF7_R2_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	H1_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/H1_R1_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	H1_R1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/H1_R1_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	MCF7_R1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/MCF7_R1_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	H1_R2	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/H1_R2_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	MCF7_R2	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/MCF7_R2_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	K562_R2	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/K562_R2_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	GM12878_R2	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/GM12878_R2_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	K562_R1_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/K562_R1_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	K562_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/K562_R2_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	K562_R1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/K562_R1_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	GM12878_R2_1	/tmp/nxf.ESsqeqazfX/trimgalore/fastqc/GM12878_R2_1_val_1_fastqc.zip
